Cell	nCount_Spatial	nFeature_Spatial	percent.mito	seurat_clusters	celltype	Cluster
63565515991400	9246	2772	6.002596	0	VZ+IZ	0
60988535617400	7712	2521	6.794606	1	VZ+IZ	1
51539607566500	14630	3638	7.47095	2	oEGL	2
54546084672900	9456	2465	9.930203	3	iEGL	3
57552561779200	8292	2454	11.082972	5	VZ+IZ	5
61847529074200	8347	2407	9.740026	0	VZ+IZ	0
63565515991500	8900	2628	8.235955	0	VZ+IZ	0
65712999642700	7704	2383	7.580478	0	VZ+IZ	0
66571993103200	7830	2537	7.867178	5	VZ+IZ	5
70437463669500	8158	2489	9.414072	0	VZ+IZ	0
70866960399500	3262	1305	7.786634	7	RL	7
71725953857800	7985	2580	7.852223	0	VZ+IZ	0
72584947313100	9997	2902	7.612284	1	VZ+IZ	1
60988535619600	8733	2703	5.828467	7	RL	7
64854006178800	7713	2321	7.454946	4	Chroid plexus	4
75161927691900	10834	3294	4.864316	0	VZ+IZ	0
74732430962800	8079	2526	7.439039	6	Vessels	6
73873437503000	8561	2713	8.410232	6	Vessels	6
73443940776000	11185	2898	7.05409	2	oEGL	2
73443940772900	8644	2668	7.878297	0	VZ+IZ	0
72155450584300	8716	2737	6.837999	0	VZ+IZ	0
71725953854100	9658	2767	7.848416	5	VZ+IZ	5
71725953853400	8169	2368	10.968295	3	iEGL	3
71296457126500	8381	2600	6.634053	0	VZ+IZ	0
69148973479500	6921	2231	7.498916	1	VZ+IZ	1
66571993104100	11361	3118	5.307631	7	RL	7
66571993103100	7461	2527	6.701515	0	VZ+IZ	0
65712999639300	9321	2769	7.74595	1	VZ+IZ	1
64854006181800	7752	2432	7.236842	0	VZ+IZ	0
51969104295500	13236	3163	8.484436	2	oEGL	2
64424509455100	8346	2626	6.829619	0	VZ+IZ	0
63995012722300	8291	2567	7.30913	0	VZ+IZ	0
63136019264000	8107	2413	6.907611	1	VZ+IZ	1
60129542155200	8584	2366	9.412861	3	iEGL	3
59700045425500	12270	2888	9.062755	2	oEGL	2
58841051969800	7880	2460	8.515228	0	VZ+IZ	0
56264071589400	15861	3713	6.815459	2	oEGL	2
55834574863200	6435	1817	9.82129	3	iEGL	3
55834574859900	13109	3288	6.834999	2	oEGL	2
55405078133800	7479	2061	10.816954	3	iEGL	3
54116587942400	15843	3637	6.381367	2	oEGL	2
53257594485600	11309	3010	8.807145	2	oEGL	2
52828097755800	7431	2147	11.532768	2	oEGL	2
66571993103300	7813	2614	8.268271	5	VZ+IZ	5
67430986563500	11326	3339	4.635352	7	RL	7
73014444044900	8316	2661	6.709957	0	VZ+IZ	0
57552561779100	8451	2418	11.241273	1	VZ+IZ	1
65712999641600	8137	2430	7.558068	5	VZ+IZ	5
75161927692900	7543	2190	8.259313	3	iEGL	3
75161927691100	8865	2442	9.63339	3	iEGL	3
64424509452000	8008	2531	5.444555	0	VZ+IZ	0
57982058507400	13628	3364	7.807455	2	oEGL	2
65283502912700	7148	2225	8.799664	1	VZ+IZ	1
73873437504400	7688	2455	10.145682	6	Vessels	6
59270548699600	8147	2522	6.358169	0	VZ+IZ	0
69148973477100	8954	2725	5.494751	0	VZ+IZ	0
77309411339400	8802	2804	5.680527	4	Chroid plexus	4
57552561780500	8827	2619	6.989917	0	VZ+IZ	0
75161927691500	9847	2977	5.585457	0	VZ+IZ	0
74302934231900	7993	2392	8.932816	1	VZ+IZ	1
